Fantasy Index Cheat Sheet,,,,,,
Rankings calculated for OALFFL,,,,,,
,,,,,,
"Projections updated through Sep 01, 2025,  4 a.m. EDT",,,,,,
ALL POSITIONS,,,,,,
Rank,Pos,Team,Name,Bye,Points,
1,WR,CIN,Ja'Marr Chase,10,366.44,
2,RB,ATL,Bijan Robinson,5,295.51,
3,RB,PHI,Saquon Barkley,9,287.24,
4,WR,MIN,Justin Jefferson,6,275.83,
5,RB,DET,Jahmyr Gibbs,8,294.88,
6,WR,DAL,CeeDee Lamb,10,280.47,
7,QB,BUF,Josh Allen,7,354.38,
8,QB,BAL,Lamar Jackson,7,370.4,
9,QB,WAS,Jayden Daniels,12,341.25,
10,QB,PHI,Jalen Hurts,9,352.07,
11,QB,CIN,Joe Burrow,10,358.11,
12,QB,KC,Patrick Mahomes,10,303.12,
13,RB,SF,Christian McCaffrey,14,260.43,
14,WR,DET,Amon-Ra St.Brown,8,271.03,
15,WR,NYG,Malik Nabers,14,257.19,
16,WR,LAR,Puka Nacua,8,259.07,
17,RB,LV,Ashton Jeanty,8,257.55,
18,RB,BAL,Derrick Henry,7,267.09,
19,RB,MIA,DeVon Achane,12,235.47,
20,TE,LV,Brock Bowers,8,250.27,
21,QB,TB,Baker Mayfield,9,267.49,
22,QB,DEN,Bo Nix,12,297.91,
23,QB,ARI,Kyler Murray,8,292.02,
24,QB,SF,Brock Purdy,14,282.63,
25,WR,HOU,Nico Collins,6,269.34,
26,RB,IND,Jonathan Taylor,11,250.61,
27,WR,JAC,Brian Thomas,8,261.93,
28,RB,GB,Josh Jacobs,5,284.79,
29,WR,PHI,A.J. Brown,9,238.89,
30,RB,TB,Bucky Irving,9,269.1,
31,RB,CIN,Chase Brown,10,265.3,
32,RB,LAR,Kyren Williams,8,257.4,
33,RB,BUF,James Cook,7,241.75,
34,QB,LAC,Justin Herbert,12,278.1,
35,QB,DAL,Dak Prescott,10,259.74,
36,QB,CHI,Caleb Williams,5,262.79,
37,WR,ATL,Drake London,5,252.45,
38,TE,ARI,Trey McBride,8,264.4,
39,WR,CIN,Tee Higgins,10,251.32,
40,WR,LAC,Ladd McConkey,12,236.15,
41,WR,MIA,Tyreek Hill,12,233.54,
42,WR,LAR,Davante Adams,8,233.26,
43,RB,NO,Alvin Kamara,11,215.97,
44,RB,LAC,Omarion Hampton,12,206.66,
45,RB,CAR,Chuba Hubbard,14,207.29,
46,QB,NE,Drake Maye,14,257.41,
47,QB,NYJ,Justin Fields,9,241.22,
48,QB,GB,Jordan Love,5,253.46,
49,WR,WAS,Terry McLaurin,12,236.99,
50,TE,SF,George Kittle,14,210.35,
51,WR,SEA,Jaxon Smith-Njigba,8,235.18,
52,WR,NYJ,Garrett Wilson,9,229.32,
53,WR,PIT,DK Metcalf,5,230,
54,WR,TB,Mike Evans,9,238.49,
55,WR,ARI,Marvin Harrison,8,234.49,
56,RB,ARI,James Conner,8,204.25,
57,QB,HOU,C.J. Stroud,6,260.3,
58,QB,DET,Jared Goff,8,268.12,
59,QB,MIN,J.J. McCarthy,6,260.52,
60,QB,LAR,Matthew Stafford,8,215.51,
61,RB,SEA,Kenneth Walker,8,211.94,
62,WR,KC,Xavier Worthy,10,225.14,
63,TE,DET,Sam LaPorta,8,201.32,
64,WR,CHI,DJ Moore,5,229.46,
65,WR,BAL,Zay Flowers,7,214.71,
66,TE,KC,Travis Kelce,10,203.67,
67,TE,MIN,T.J. Hockenson,6,162.03,
68,WR,DEN,Courtland Sutton,12,245.83,
69,WR,CAR,Tetairoa McMillan,14,210.64,
70,WR,TEN,Calvin Ridley,10,227.7,
71,WR,PHI,DeVonta Smith,9,232,
72,WR,MIA,Jaylen Waddle,12,222.2,
73,RB,NE,TreVeyon Henderson,14,222.02,
74,RB,NYJ,Breece Hall,9,187.87,
75,RB,CHI,D'Andre Swift,5,175.65,
76,RB,DET,David Montgomery,8,197.93,
77,RB,TEN,Tony Pollard,10,205.44,
78,RB,KC,Isiah Pacheco,10,211.38,
79,WR,DET,Jameson Williams,8,224.53,
80,RB,MIN,Aaron Jones,6,191.51,
81,WR,CLE,Jerry Jeudy,9,222.21,
82,WR,SF,Ricky Pearsall,14,217.01,
83,RB,NYG,Tyrone Tracy,14,180.44,
84,WR,TB,Emeka Egbuka,9,211.37,
85,RB,DAL,Javonte Williams,10,176.83,
86,QB,JAC,Trevor Lawrence,8,264.31,
87,RB,JAC,Travis Etienne,8,172.28,
88,WR,LV,Jakobi Meyers,8,202.49,
89,RB,DEN,RJ Harvey,12,168.51,
90,WR,BUF,Khalil Shakir,7,200.41,
91,RB,WAS,Austin Ekeler,12,165.35,
92,WR,GB,Matthew Golden,5,198.12,
93,WR,JAC,Travis Hunter,8,197.96,
94,RB,PIT,Jaylen Warren,5,160.29,
95,WR,DAL,George Pickens,10,191.96,
96,RB,JAC,Tank Bigsby,8,154.86,
97,WR,ATL,Darnell Mooney,5,185.4,
98,QB,CAR,Bryce Young,14,241.08,
99,TE,CLE,David Njoku,9,192.25,
100,RB,CLE,Jerome Ford,9,145.83,
101,WR,SF,Jauan Jennings,14,176.16,
102,WR,MIN,Jordan Addison,6,176.08,
103,WR,KC,Rashee Rice,10,175.43,
104,WR,NE,Stefon Diggs,14,173.92,
105,WR,DEN,Marvin Mims,12,173.79,
106,RB,ARI,Trey Benson,8,139.37,
107,WR,NO,Chris Olave,11,171.92,
108,TE,BAL,Mark Andrews,7,181.55,
109,QB,MIA,Tua Tagovailoa,12,227.02,
110,WR,WAS,Deebo Samuel,12,169.25,
111,QB,LV,Geno Smith,8,225.65,
112,WR,GB,Jayden Reed,5,167.9,
113,WR,CAR,Xavier Legette,14,167.78,
114,TE,IND,Tyler Warren,11,177.73,
115,QB,TEN,Cam Ward,10,223.99,
116,RB,NE,Rhamondre Stevenson,14,134.1,
117,TE,PHI,Dallas Goedert,9,175.75,
118,RB,DEN,J.K. Dobbins,12,132.28,
119,TE,DAL,Jake Ferguson,10,174.16,
120,RB,PIT,Kaleb Johnson,5,131.17,
121,WR,NYG,Wan'Dale Robinson,14,163.71,
122,QB,PIT,Aaron Rodgers,5,219.8,
123,TE,WAS,Zach Ertz,12,172.84,
124,RB,MIA,Ollie Gordon,12,130.03,
125,WR,HOU,Christian Kirk,6,162.87,
126,RB,NYJ,Braelon Allen,9,129.9,
127,RB,HOU,Joe Mixon,6,128.75,
128,WR,IND,Michael Pittman,11,161.48,
129,WR,BUF,Keon Coleman,7,160.52,
130,QB,SEA,Sam Darnold,8,217.41,
131,RB,SF,Brian Robinson,14,127.43,
132,WR,BAL,Rashod Bateman,7,160.01,
133,RB,SEA,Zach Charbonnet,8,126.61,
134,TE,GB,Tucker Kraft,5,169.12,
135,ST,PIT,Pittsburgh,5,115.22,
136,RB,MIN,Jordan Mason,6,126.23,
137,ST,DEN,Denver,12,137.3,
138,ST,HOU,Houston,6,116.26,
139,RB,LAC,Najee Harris,12,125.97,
140,QB,ATL,Michael Penix,5,212.67,
141,RB,HOU,Nick Chubb,6,121.94,
142,K,DET,Jake Bates,8,142.68,
143,RB,CLE,Quinshon Judkins,9,121.27,
144,RB,WAS,Jacory Croskey-Merritt,12,118.91,
145,RB,BAL,Justice Hill,7,117.9,
146,WR,NE,DeMario Douglas,14,149.74,
147,ST,BAL,Baltimore,7,123.42,
148,ST,MIN,Minnesota,6,116.8,
149,RB,CAR,Rico Dowdle,14,116.59,
150,TE,DEN,Evan Engram,12,158.76,
151,K,DAL,Brandon Aubrey,10,154.04,
152,WR,NO,Rashid Shaheed,11,148.52,
153,WR,LAC,Keenan Allen,12,148.48,
154,TE,BUF,Dalton Kincaid,7,158.22,
155,RB,DAL,Jaydon Blue,10,114.31,
156,WR,CHI,Rome Odunze,5,146.22,
157,WR,SEA,Cooper Kupp,8,145.9,
158,WR,DEN,Troy Franklin,12,143.39,
159,WR,IND,Josh Downs,11,142.78,
160,K,TB,Chase McLaughlin,9,141.32,
161,ST,PHI,Philadelphia,9,117.65,
162,WR,ARI,Michael Wilson,8,142.68,
163,WR,CLE,Cedric Tillman,9,140.32,
164,WR,GB,Romeo Doubs,5,139.87,
165,WR,KC,JuJu Smith-Schuster,10,139.38,
166,WR,BUF,Joshua Palmer,7,136.55,
167,ST,DET,Detroit,8,108.7,
168,WR,LAC,Quentin Johnston,12,132.87,
169,ST,SEA,Seattle,8,114.82,
170,K,LAC,Cameron Dicker,12,153.31,
171,TE,CHI,Colston Loveland,5,141.18,
172,K,BUF,Tyler Bass,7,130.39,
173,ST,NE,New England,14,89.89,
174,K,PHI,Jake Elliott,9,144.31,
175,WR,TB,Chris Godwin,9,129.34,
176,K,PIT,Chris Boswell,5,140.04,
177,QB,IND,Daniel Jones,11,184.51,
178,K,KC,Harrison Butker,10,146.16,
179,K,JAC,Cam Little,8,137.01,
180,ST,BUF,Buffalo,7,120.12,
181,K,BAL,Tyler Loop,7,139.47,
182,ST,GB,Green Bay,5,122.84,
183,TE,PIT,Pat Freiermuth,5,133.44,
184,ST,IND,Indianapolis,11,97.64,
185,TE,NYG,Theo Johnson,14,133.26,
186,TE,MIA,Darren Waller,12,132.36,
187,TE,CAR,Ja'Tavion Sanders,14,131.46,
188,K,CHI,Cairo Santos,5,130.95,
189,QB,NO,Spencer Rattler,11,148.65,
190,QB,CLE,Joe Flacco,9,141.97,
191,QB,NYG,Jaxson Dart,14,136.51,
192,K,WAS,Matt Gay,12,133.87,
193,RB,LAR,Blake Corum,8,114.28,
194,RB,WAS,Chris Rodriguez,12,114.1,
195,RB,NYG,Cam Skattebo,14,114.03,
196,RB,ATL,Tyler Allgeier,5,113.63,
197,RB,BUF,Ty Johnson,7,104.2,
198,RB,TB,Sean Tucker,9,103.2,
