Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 07, 2026,  8 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
1,QB,BUF,Josh Allen,7,373.29,,,,,,,,,
2,RB,DET,Jahmyr Gibbs,6,344.16,,,,,,,,,
3,RB,ATL,Bijan Robinson,11,331.21,,,,,,,,,
4,QB,BAL,Lamar Jackson,13,320.7,,,,,,,,,
5,RB,IND,Jonathan Taylor,13,312.56,,,,,,,,,
6,QB,CIN,Joe Burrow,6,317.69,,,,,,,,,
7,QB,NE,Drake Maye,11,310.99,,,,,,,,,
8,WR,SEA,Jaxon Smith-Njigba,11,248.18,,,,,,,,,
9,QB,PHI,Jalen Hurts,10,326.92,,,,,,,,,
10,QB,CHI,Caleb Williams,10,320.5,,,,,,,,,
11,RB,BUF,James Cook,7,324.16,,,,,,,,,
12,RB,BAL,Derrick Henry,13,309.68,,,,,,,,,
13,RB,SF,Christian McCaffrey,8,264.72,,,,,,,,,
14,RB,PHI,Saquon Barkley,10,273.37,,,,,,,,,
15,WR,CIN,Ja'Marr Chase,6,246.11,,,,,,,,,
16,WR,LAR,Puka Nacua,11,240.73,,,,,,,,,
17,QB,WAS,Jayden Daniels,7,305.5,,,,,,,,,
18,RB,CIN,Chase Brown,6,269.46,,,,,,,,,
19,RB,MIA,DeVon Achane,6,263.16,,,,,,,,,
20,RB,KC,Kenneth Walker,5,256.1,,,,,,,,,
21,RB,LAR,Kyren Williams,11,248.68,,,,,,,,,
22,WR,DET,Amon-Ra St.Brown,6,235.92,,,,,,,,,
23,WR,DAL,CeeDee Lamb,14,228.93,,,,,,,,,
24,WR,MIN,Justin Jefferson,6,216.05,,,,,,,,,
25,RB,CHI,D'Andre Swift,10,236.65,,,,,,,,,
26,RB,DAL,Javonte Williams,14,228.08,,,,,,,,,
27,RB,NO,Travis Etienne,8,238.6,,,,,,,,,
28,RB,LV,Ashton Jeanty,13,225.8,,,,,,,,,
29,WR,DAL,George Pickens,14,214.26,,,,,,,,,
30,WR,ATL,Drake London,11,189.28,,,,,,,,,
31,WR,HOU,Nico Collins,8,204.61,,,,,,,,,
32,TE,LV,Brock Bowers,13,175.9,,,,,,,,,
33,QB,JAC,Trevor Lawrence,7,312.45,,,,,,,,,
34,QB,DAL,Dak Prescott,14,304.8,,,,,,,,,
35,RB,SEA,Jadarian Price,11,221.17,,,,,,,,,
36,WR,NO,Chris Olave,8,196.98,,,,,,,,,
37,WR,KC,Rashee Rice,5,161.07,,,,,,,,,
38,TE,ARI,Trey McBride,14,190.1,,,,,,,,,
39,WR,NYG,Malik Nabers,8,188.94,,,,,,,,,
40,WR,PHI,DeVonta Smith,10,198.71,,,,,,,,,
41,QB,LAC,Justin Herbert,7,297.78,,,,,,,,,
42,RB,LAC,Omarion Hampton,7,220.89,,,,,,,,,
43,RB,NYG,Cam Skattebo,8,200.82,,,,,,,,,
44,RB,CLE,Quinshon Judkins,11,217.4,,,,,,,,,
45,WR,CIN,Tee Higgins,6,185.23,,,,,,,,,
46,WR,CAR,Tetairoa McMillan,5,186.81,,,,,,,,,
47,TE,CHI,Colston Loveland,10,167.64,,,,,,,,,
48,TE,GB,Tucker Kraft,11,150.27,,,,,,,,,
49,QB,SF,Brock Purdy,8,307.7,,,,,,,,,
50,QB,KC,Patrick Mahomes,5,296.78,,,,,,,,,
51,QB,LAR,Matthew Stafford,11,294.96,,,,,,,,,
