Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 04, 2025,  2 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
1,RB,PHI,Saquon Barkley,9,326.33,,,,,,,,,
2,RB,ATL,Bijan Robinson,5,309.31,,,,,,,,,
3,RB,DET,Jahmyr Gibbs,8,307.02,,,,,,,,,
4,RB,BAL,Derrick Henry,7,314.21,,,,,,,,,
5,RB,GB,Josh Jacobs,5,315.75,,,,,,,,,
6,QB,BUF,Josh Allen,7,403.88,,,,,,,,,
7,RB,SF,Christian McCaffrey,14,262.75,,,,,,,,,
8,QB,BAL,Lamar Jackson,7,426.52,,,,,,,,,
9,WR,CIN,Ja'Marr Chase,10,314.81,,,,,,,,,
10,RB,LV,Ashton Jeanty,8,270.4,,,,,,,,,
11,QB,CIN,Joe Burrow,10,403.72,,,,,,,,,
12,QB,PHI,Jalen Hurts,9,409.26,,,,,,,,,
13,QB,WAS,Jayden Daniels,12,392.74,,,,,,,,,
14,QB,KC,Patrick Mahomes,10,341.66,,,,,,,,,
15,WR,MIN,Justin Jefferson,6,232.55,,,,,,,,,
16,WR,DAL,CeeDee Lamb,10,232.47,,,,,,,,,
17,RB,IND,Jonathan Taylor,11,292.93,,,,,,,,,
18,RB,LAR,Kyren Williams,8,272.2,,,,,,,,,
19,QB,TB,Baker Mayfield,9,301.9,,,,,,,,,
20,QB,DEN,Bo Nix,12,337.7,,,,,,,,,
21,WR,HOU,Nico Collins,6,232.01,,,,,,,,,
22,WR,NYG,Malik Nabers,14,207.42,,,,,,,,,
23,WR,DET,Amon-Ra St.Brown,8,207.41,,,,,,,,,
24,WR,JAC,Brian Thomas,8,219.81,,,,,,,,,
25,RB,TB,Bucky Irving,9,270.72,,,,,,,,,
26,RB,CIN,Chase Brown,10,268.08,,,,,,,,,
27,RB,MIA,DeVon Achane,12,219.6,,,,,,,,,
